Sudoku                                                                              Difficulty   HoDoKu   SE    Solution                                                                            Success   NbrOfGivens   TediousnessPercentage   MinNbrConcurrent   Last Digit   Killer Combination Singles   Hidden Single (Box)   Hidden Single (Line)   Hidden Single (Variant Region)   Killer Combinations   Naked Single   Variant Constraint   Innies / Outies   Innies / Outies (Mixed Region Types)   Hidden Pair   Naked Pair   Locked Candidate   Killer Combinations (Advanced)   Cage Split   Hidden Triple   Naked Triple   Innies / Outies (Advanced)   Killer Combination Locked Candidate   X-Wing   Short Forcing Chain (1-3 Cells)   Swordfish   Skyscraper   Two-String-Kite   Crane   Short Forcing Chain (4 Cells)   Y-Wing   Finned/Sashimi X-Wing   XYZ-Wing   Hidden Quadruple   Naked Quadruple   Empty Rectangle   W-Wing   Unique Rectangle Type 1   Unique Rectangle Type 2   Unique Rectangle Type 3   Unique Rectangle Type 4   Unique Rectangle Type 5   Finned/Sashimi Swordfish   Jellyfish   BUG (Binary Universal Grave)   Simple Coloring   X-Chain   Grouped X-Chain   4-Y-Wing (WXYZ-Wing)   Finned/Sashimi Jellyfish   Short Forcing Chain (5 Cells)   5-Y-Wing   3D Medusa   XY-Chain   6-Y-Wing   Alternating Inference Chain (AIC)   Grouped Alternating Inference Chain (AIC)   7-Y-Wing   8-Y-Wing   9-Y-Wing   Nishio Forcing Chain   Nishio Forcing Net   Cell/Region Forcing Chain   Cell/Region Forcing Net   Trial and Error   CountBasic   CountSimple   CountAdvanced   CountMoreAdvanced   CountHard   CountBrutal   DifferentBasic   DifferentSimple   DifferentAdvanced   DifferentMoreAdvanced   DifferentHard   DifferentBrutal   DifferentOverall   
070190048300400067005702130900307810002840706701600003193270050657900002028000971   Very Easy    244      1.2   276193548319485267845762139964327815532841796781659423193278654657914382428536971   1         44            5.4                     12                 21           0                            16                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 37           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
580400037947520600320086495700048000000159000002007004260304700093072000000005001   Very Easy    304      1.2   586491237947523618321786495759248163634159872812637954265314789193872546478965321   1         38            7.0                     8                  21           0                            22                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 43           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
000750400000809600058600019049001500000007064602040300761020800983000005500100906   Very Easy    340      1.2   196752438437819652258634719349261587815397264672548391761925843983476125524183976   1         35            6.5                     5                  20           0                            26                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 46           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
370026840050318020286745913004003000020090068013200459507639201000052607690071504   Very Easy    206      1.2   371926845459318726286745913964583172725194368813267459547639281138452697692871534   1         49            6.3                     5                  19           0                            13                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 32           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
004870201610004807082509400960185040408900130500032080040758316830091504056040070   Very Easy    214      1.2   394876251615324897782519463963185742428967135571432689249758316837691524156243978   1         47            5.9                     4                  21           0                            13                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 34           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
630905804009031000820007059006094000080072040000108763100280400560700000900510687   Very Easy    300      1.2   637925814459831276821467359716394528385672941294158763173286495568749132942513687   1         39            4.8                     19                 20           0                            22                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 42           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
285174903063900120019236500804000790007040601620500084078300016000060009046709205   Very Easy    234      1.2   285174963463958127719236548854613792397842651621597384978325416532461879146789235   1         45            5.6                     13                 21           0                            15                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 36           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
347096250061580000085720030008300560152960084706058021613240870879600412500000093   Very Easy    184      1.2   347196258261583749985724136498312567152967384736458921613249875879635412524871693   1         50            6.5                     7                  21           0                            10                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 31           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
701803490000004601054010823090400210032068940416209030170046080009050764643080109   Very Easy    214      1.2   761823495328594671954617823897435216532168947416279538175946382289351764643782159   1         47            5.9                     5                  21           0                            13                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 34           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
384509207501007043006308900042956701050004020607830409030680002705000086108023000   Very Easy    244      1.2   384519267591267843276348915842956731953174628617832459439685172725491386168723594   1         44            5.4                     7                  21           0                            16                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 37           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
