Sudoku                                                                              Difficulty        HoDoKu   SE    Solution                                                                            Success   NbrOfGivens   TediousnessPercentage   MinNbrConcurrent   Last Digit   Killer Combination Singles   Hidden Single (Box)   Hidden Single (Line)   Hidden Single (Variant Region)   Killer Combinations   Naked Single   Variant Constraint   Innies / Outies   Innies / Outies (Mixed Region Types)   Hidden Pair   Naked Pair   Locked Candidate   Killer Combinations (Advanced)   Cage Split   Hidden Triple   Naked Triple   Innies / Outies (Advanced)   Killer Combination Locked Candidate   X-Wing   Short Forcing Chain (1-3 Cells)   Swordfish   Skyscraper   Two-String-Kite   Crane   Short Forcing Chain (4 Cells)   Y-Wing   Finned/Sashimi X-Wing   XYZ-Wing   Hidden Quadruple   Naked Quadruple   Empty Rectangle   W-Wing   Unique Rectangle Type 1   Unique Rectangle Type 2   Unique Rectangle Type 3   Unique Rectangle Type 4   Unique Rectangle Type 5   Finned/Sashimi Swordfish   Jellyfish   BUG (Binary Universal Grave)   Simple Coloring   X-Chain   Grouped X-Chain   4-Y-Wing (WXYZ-Wing)   Finned/Sashimi Jellyfish   Short Forcing Chain (5 Cells)   5-Y-Wing   3D Medusa   XY-Chain   6-Y-Wing   Alternating Inference Chain (AIC)   Grouped Alternating Inference Chain (AIC)   7-Y-Wing   8-Y-Wing   9-Y-Wing   Nishio Forcing Chain   Nishio Forcing Net   Cell/Region Forcing Chain   Cell/Region Forcing Net   Trial and Error   CountBasic   CountSimple   CountAdvanced   CountMoreAdvanced   CountHard   CountBrutal   DifferentBasic   DifferentSimple   DifferentAdvanced   DifferentMoreAdvanced   DifferentHard   DifferentBrutal   DifferentOverall   
090060000460800050000002080050700001930051000006080000000400930005600700000070100   Moderately Hard   580      2.3   298563417461897352573142689854736291937251864126984573782415936315629748649378125   1         25            28.6                    1                  20           0                            26                    7                      0                                0                     3              0                    0                 0                                      2             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           2             0               0                   0           0             4                1                 0                   0                       0               0                 5                  
006800700900000801000900026060070000500002400020084000602050084450000002010009500   Moderately Hard   480      2.0   236815749947236851185947326864371295571692438329584617692753184453168972718429563   1         28            30.2                    1                  20           0                            27                    6                      0                                0                     0              0                    0                 0                                      1             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 53           1             0               0                   0           0             3                1                 0                   0                       0               0                 4                  
000900320001080070040100690800000740017006005006090000500010200030020009000300000   Moderately Hard   644      2.3   768945321921683574345172698893251746217436985456798132579814263634527819182369457   1         26            34.5                    1                  21           0                            28                    4                      0                                0                     2              0                    0                 0                                      1             0            3                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 55           4             0               0                   0           0             4                2                 0                   0                       0               0                 6                  
000005000600010080048000000002006900039000064806900050000400000000030025000120309   Moderately Hard   592      2.0   217895436693714582548263791452386917139572864876941253321459678984637125765128349   1         25            28.6                    1                  18           0                            34                    4                      0                                0                     0              0                    0                 0                                      2             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           2             0               0                   0           0             3                1                 0                   0                       0               0                 4                  
002009000050000007004030009000008000700501080109043050000000000248000000003004620   Moderately Hard   564      2.0   372159864951486237864237519435728196726591483189643752697812345248365971513974628   1         24            28.1                    1                  21           0                            28                    8                      0                                0                     0              0                    0                 0                                      1             0            1                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           2             0               0                   0           0             3                2                 0                   0                       0               0                 5                  
000701000065000000008036100002005007004000500003070402000000040400100260000602080   Moderately Hard   516      2.0   329781654165924378748536129912465837874213596653879412286357941437198265591642783   1         25            21.4                    1                  19           0                            29                    8                      0                                0                     0              0                    0                 0                                      1             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           1             0               0                   0           0             3                1                 0                   0                       0               0                 4                  
700409000001000500000000004046200000005600800000058000590870021004000058020100090   Moderately Hard   606      2.3   752489163461723589389516274846291735935647812217358946593874621174962358628135497   1         26            30.9                    1                  19           0                            28                    7                      0                                0                     1              0                    0                 0                                      1             0            2                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 55           3             0               0                   0           0             4                2                 0                   0                       0               0                 6                  
060400000001000302000000000004901500020080060006200073030058001002000039000000000   Moderately Hard   600      2.3   863412795741596382295837416374961528529783164186245973937658241652174839418329657   1         23            31.0                    1                  20           0                            29                    5                      0                                0                     4              0                    0                 0                                      2             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 58           2             0               0                   0           0             4                1                 0                   0                       0               0                 5                  
043060008050430000790000002000600700070000001005083040000040100000000090009005084   Moderately Hard   516      2.3   243967518851432976796158432984621753372594861615783249568349127427816395139275684   1         25            33.9                    1                  19           0                            29                    7                      0                                0                     1              0                    0                 0                                      1             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           1             0               0                   0           0             4                1                 0                   0                       0               0                 5                  
020001040000600300690024000000060104900103007051000000000400000087030020000000050   Moderately Hard   590      2.0   725381649814659372693724815378562194962143587451897236239415768587936421146278953   1         24            40.4                    1                  20           0                            32                    5                      0                                0                     0              0                    0                 0                                      2             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           2             0               0                   0           0             3                1                 0                   0                       0               0                 4                  
