Sudoku                                                                              Difficulty   HoDoKu   SE    Solution                                                                            Success   NbrOfGivens   TediousnessPercentage   MinNbrConcurrent   Last Digit   Killer Combination Singles   Hidden Single (Box)   Hidden Single (Line)   Hidden Single (Variant Region)   Killer Combinations   Naked Single   Variant Constraint   Innies / Outies   Innies / Outies (Mixed Region Types)   Hidden Pair   Naked Pair   Locked Candidate   Killer Combinations (Advanced)   Cage Split   Hidden Triple   Naked Triple   Innies / Outies (Advanced)   Killer Combination Locked Candidate   X-Wing   Short Forcing Chain (1-3 Cells)   Swordfish   Skyscraper   Two-String-Kite   Crane   Short Forcing Chain (4 Cells)   Y-Wing   Finned/Sashimi X-Wing   XYZ-Wing   Hidden Quadruple   Naked Quadruple   Empty Rectangle   W-Wing   Unique Rectangle Type 1   Unique Rectangle Type 2   Unique Rectangle Type 3   Unique Rectangle Type 4   Unique Rectangle Type 5   Finned/Sashimi Swordfish   Jellyfish   BUG (Binary Universal Grave)   Simple Coloring   X-Chain   Grouped X-Chain   4-Y-Wing (WXYZ-Wing)   Finned/Sashimi Jellyfish   Short Forcing Chain (5 Cells)   5-Y-Wing   3D Medusa   XY-Chain   6-Y-Wing   Alternating Inference Chain (AIC)   Grouped Alternating Inference Chain (AIC)   7-Y-Wing   8-Y-Wing   9-Y-Wing   Nishio Forcing Chain   Nishio Forcing Net   Cell/Region Forcing Chain   Cell/Region Forcing Net   Trial and Error   CountBasic   CountSimple   CountAdvanced   CountMoreAdvanced   CountHard   CountBrutal   DifferentBasic   DifferentSimple   DifferentAdvanced   DifferentMoreAdvanced   DifferentHard   DifferentBrutal   DifferentOverall   
000007680005020000300000210000070000120645700700001000000000006050210000010098070   Hard         744      2.8   291457683865123947374869215549372861128645739736981524982734156457216398613598472   1         25            30.4                    1                  21           0                            31                    4                      0                                0                     0              0                    0                 0                                      3             0            2                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           5             0               0                   0           0             3                2                 0                   0                       0               0                 5                  
000040700000000010000035860980000300700309000050180020500000002300020070100060080   Hard         800      3.4   836241795475896213291735864984672351712359648653184927568917432349528176127463589   1         25            33.9                    1                  20           0                            30                    4                      0                                0                     2              0                    0                 0                                      3             0            3                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           6             0               0                   0           0             4                2                 0                   0                       0               0                 6                  
400006000503009000070000580090804102004000000060000800000070001080900400006300020   Hard         876      3.4   428756319513489276679132584795864132834217695261593847342678951187925463956341728   1         24            35.1                    1                  19           0                            34                    3                      0                                0                     1              0                    0                 0                                      2             3            2                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           7             0               0                   0           0             4                3                 0                   0                       0               0                 7                  
000020080500400300267000000900041000002000019005080000304090700070006430000000100   Hard         800      3.4   431925687598467321267318954983241576642573819715689243354192768179856432826734195   1         25            41.1                    1                  20           0                            28                    2                      0                                0                     6              0                    0                 0                                      3             0            3                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           6             0               0                   0           0             4                2                 0                   0                       0               0                 6                  
060007000009000400000965003042001000700000024005090000000003000000200109450700030   Hard         686      2.8   863147295579328461124965783942871356718536924635492817297613548386254179451789632   1         24            31.6                    1                  19           0                            35                    3                      0                                0                     0              0                    0                 0                                      1             1            2                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           4             0               0                   0           0             3                3                 0                   0                       0               0                 6                  
000400010600009008900065400800000063000002100000390000090006001070030000083070050   Hard         766      3.4   725483916614729538938165427849517263357642189261398745492856371576231894183974652   1         25            41.1                    1                  19           0                            31                    6                      0                                0                     0              0                    0                 0                                      3             1            1                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           5             0               0                   0           0             3                3                 0                   0                       0               0                 6                  
900007000008000062000006407001009074000050080400000020004073000206000000890004001   Hard         862      3.4   965247813748315962312986457521869374673452189489731526154673298236198745897524631   1         25            42.9                    1                  18           0                            32                    4                      0                                0                     2              0                    0                 0                                      5             1            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           6             0               0                   0           0             4                2                 0                   0                       0               0                 6                  
000009008040087006000005100307000090900070030200000004006000000095041300000008001   Hard         736      2.3   732169548541387926689425173367514892914872635258936714126753489895241367473698251   1         24            33.3                    1                  19           0                            30                    5                      0                                0                     3              0                    0                 0                                      1             1            3                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           5             0               0                   0           0             4                3                 0                   0                       0               0                 7                  
080690200040010670060704000000000000000001500005000100026900004100020080470000020   Hard         576      2.3   781695243543812679962734851617589432294371568835246197326958714159427386478163925   1         25            30.4                    1                  19           0                            31                    4                      0                                0                     2              0                    0                 0                                      1             1            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           2             0               0                   0           0             4                2                 0                   0                       0               0                 6                  
700000600120000098080000000007010500910307000003002000000001005630008000000630100   Hard         600      2.8   794285613125763498386194752247816539918357246563942871879421365631578924452639187   1         24            40.4                    1                  20           0                            32                    4                      0                                0                     1              0                    0                 0                                      0             0            3                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           3             0               0                   0           0             4                1                 0                   0                       0               0                 5                  
