Sudoku                                                                              Difficulty   HoDoKu   SE    Solution                                                                            Success   NbrOfGivens   TediousnessPercentage   MinNbrConcurrent   Last Digit   Killer Combination Singles   Hidden Single (Box)   Hidden Single (Line)   Hidden Single (Variant Region)   Killer Combinations   Naked Single   Variant Constraint   Innies / Outies   Innies / Outies (Mixed Region Types)   Hidden Pair   Naked Pair   Locked Candidate   Killer Combinations (Advanced)   Cage Split   Hidden Triple   Naked Triple   Innies / Outies (Advanced)   Killer Combination Locked Candidate   X-Wing   Short Forcing Chain (1-3 Cells)   Swordfish   Skyscraper   Two-String-Kite   Crane   Short Forcing Chain (4 Cells)   Y-Wing   Finned/Sashimi X-Wing   XYZ-Wing   Hidden Quadruple   Naked Quadruple   Empty Rectangle   W-Wing   Unique Rectangle Type 1   Unique Rectangle Type 2   Unique Rectangle Type 3   Unique Rectangle Type 4   Unique Rectangle Type 5   Finned/Sashimi Swordfish   Jellyfish   BUG (Binary Universal Grave)   Simple Coloring   X-Chain   Grouped X-Chain   4-Y-Wing (WXYZ-Wing)   Finned/Sashimi Jellyfish   Short Forcing Chain (5 Cells)   5-Y-Wing   3D Medusa   XY-Chain   6-Y-Wing   Alternating Inference Chain (AIC)   Grouped Alternating Inference Chain (AIC)   7-Y-Wing   8-Y-Wing   9-Y-Wing   Nishio Forcing Chain   Nishio Forcing Net   Cell/Region Forcing Chain   Cell/Region Forcing Net   Trial and Error   CountBasic   CountSimple   CountAdvanced   CountMoreAdvanced   CountHard   CountBrutal   DifferentBasic   DifferentSimple   DifferentAdvanced   DifferentMoreAdvanced   DifferentHard   DifferentBrutal   DifferentOverall   
000040927080000000002500340000004060061009700207300800300000100004000002076000000   Hell         1364     6.6   653148927489273651712596348938714265561829734247365819325487196894631572176952483   1         25            46.4                    1                  21           0                            31                    4                      0                                0                     0              0                    0                 0                                      2             1            2                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 1       0                               0        0                       0          0                  0                 0                 1        1                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          1           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           5             1               2                   0           1             3                3                 1                   2                       0               1                 10                 
073400000000600800000050006100500900050030040400000008000000007005970030001002050   Hell         2626     7.4   673428195592613874814759326128547963956831742437296518349165287285974631761382459   1         23            46.6                    1                  19           0                            35                    2                      0                                0                     2              0                    0                 0                                      0             1            3                  0                                0            0               0              0                            0                                     0        0                                 0           0            1                 1       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          6                                   0                                           0          0          0          0                      0                    0                           0                         0                 58           4             2               0                   0           6             4                2                 2                   0                       0               1                 9                  
600000070050703104400002000008060000507400020000190700000004005020000000000800390   Hell         2760     7.5   681549273952783164473612589398267451517438926264195738736924815829351647145876392   1         24            54.4                    1                  20           0                            35                    0                      0                                0                     2              0                    0                 0                                      2             2            5                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               1        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 1                      0                          0                               0          1           2          0          2                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           9             0               1                   1           5             3                3                 0                   1                       1               3                 11                 
000006090004738000000400038700000900010000020005600004640100000000000087030070001   Hell         4034     7.2   873216495954738162261459738782345916416897523395621874647183259129564387538972641   1         24            70.2                    1                  21           0                            28                    3                      0                                0                     5              0                    0                 0                                      1             1            8                  0                                0            1               0              0                            0                                     0        0                                 0           0            2                 0       0                               1        0                       2          0                  0                 0                 2        0                         0                         0                         0                         0                         0                          0           0                              0                 1         0                 0                      0                          0                               0          5           0          0          1                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           11            2               5                   1           6             4                4                 1                   3                       1               2                 15                 
850690000000040309000007000080000400061005800004100560002050000600000020400302900   Hell         2660     7.3   853691274716248359249537186587926431361475892924183567132759648695814723478362915   1         26            49.1                    1                  20           0                            28                    6                      0                                0                     1              0                    0                 0                                      2             2            4                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        1                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         2                 1                      0                          0                               0          0           1          0          2                                   0                                           0          0          0          0                      0                    0                           0                         0                 55           8             0               1                   3           3             4                3                 0                   1                       2               2                 12                 
003040006020500000008001409109080600000000010000100203000907000306008900200006008   Hell         1172     7.2   713849526924563781568721439179382645432695817685174293841957362356218974297436158   1         26            30.9                    2                  18           0                            32                    3                      0                                0                     2              0                    0                 0                                      0             0            3                  0                                0            0               0              0                            0                                     0        0                                 0           0            2                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          1                                   0                                           0          0          0          0                      0                    0                           0                         0                 55           3             2               0                   0           1             4                1                 1                   0                       0               1                 7                  
000040006620780000135000000060890000007023689000000004002100000000030700000000025   Hell         1696     6.8   879341256624785391135269847563894172417523689298617534742158963956432718381976425   1         25            57.1                    1                  19           0                            25                    10                     0                                0                     2              0                    0                 0                                      5             3            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        2                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          1           1          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           8             0               2                   0           2             4                2                 0                   1                       0               2                 9                  
000460800000023000250007000040070500008000300730008002307002150900500030000000060   Hell         3072     6.7   179465823486123795253897614642379581598214376731658942367942158914586237825731469   1         26            61.8                    1                  18           0                            29                    4                      0                                0                     4              0                    0                 0                                      0             0            5                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               1        2                       0          0                  0                 0                 4        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               1          4           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 55           5             0               7                   0           5             4                1                 0                   3                       0               2                 10                 
000000402500090000080600050002370000054000000000106004600007803020000607001800200   Hell         1164     7.1   719538462546792138283641759962374581154289376837156924695427813328915647471863295   1         25            42.9                    1                  21           0                            28                    3                      0                                0                     4              0                    0                 0                                      0             0            7                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 1                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           1          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           7             0               1                   0           1             4                1                 0                   1                       0               1                 7                  
500210000089005000400000800008000002000360080306000041050092000700000010000700006   Hell         3514     7.3   537218694689475123421936875948157362215364987376829541154692738762583419893741256   1         24            70.2                    1                  21           0                            25                    7                      0                                0                     4              0                    0                 0                                      1             1            5                  0                                0            0               0              0                            0                                     1        0                                 0           0            0                 0       0                               1        0                       0          0                  0                 0                 3        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           1          0          6                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           7             1               4                   0           7             4                3                 1                   2                       0               2                 12                 
