Sudoku                                                                              Difficulty    HoDoKu   SE    Solution                                                                            Success   NbrOfGivens   TediousnessPercentage   MinNbrConcurrent   Last Digit   Killer Combination Singles   Hidden Single (Box)   Hidden Single (Line)   Hidden Single (Variant Region)   Killer Combinations   Naked Single   Variant Constraint   Innies / Outies   Innies / Outies (Mixed Region Types)   Hidden Pair   Naked Pair   Locked Candidate   Killer Combinations (Advanced)   Cage Split   Hidden Triple   Naked Triple   Innies / Outies (Advanced)   Killer Combination Locked Candidate   X-Wing   Short Forcing Chain (1-3 Cells)   Swordfish   Skyscraper   Two-String-Kite   Crane   Short Forcing Chain (4 Cells)   Y-Wing   Finned/Sashimi X-Wing   XYZ-Wing   Hidden Quadruple   Naked Quadruple   Empty Rectangle   W-Wing   Unique Rectangle Type 1   Unique Rectangle Type 2   Unique Rectangle Type 3   Unique Rectangle Type 4   Unique Rectangle Type 5   Finned/Sashimi Swordfish   Jellyfish   BUG (Binary Universal Grave)   Simple Coloring   X-Chain   Grouped X-Chain   4-Y-Wing (WXYZ-Wing)   Finned/Sashimi Jellyfish   Short Forcing Chain (5 Cells)   5-Y-Wing   3D Medusa   XY-Chain   6-Y-Wing   Alternating Inference Chain (AIC)   Grouped Alternating Inference Chain (AIC)   7-Y-Wing   8-Y-Wing   9-Y-Wing   Nishio Forcing Chain   Nishio Forcing Net   Cell/Region Forcing Chain   Cell/Region Forcing Net   Trial and Error   CountBasic   CountSimple   CountAdvanced   CountMoreAdvanced   CountHard   CountBrutal   DifferentBasic   DifferentSimple   DifferentAdvanced   DifferentMoreAdvanced   DifferentHard   DifferentBrutal   DifferentOverall   
071006000002900080500000001000070308085000140300400009420063000000008090000004000   Beyond Hell   5080     9.1   871346952632951784594827631946175328285639147317482569429763815753218496168594273   1         25            71.4                    1                  20           0                            29                    3                      0                                0                     4              0                    0                 0                                      1             1            5                  0                                0            1               0              0                            0                                     0        0                                 0           0            1                 0       0                               0        1                       0          0                  0                 0                 2        1                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          1                                   0                                           0          0          0          6                      0                    0                           2                         0                 56           8             1               4                   0           1             4                4                 1                   3                       0               1                 13                 
010000040500000000070100000006451002025800060000000910900060380800003600000009000   Beyond Hell   4880     8.1   218935746534678291679142538396451872125897463487326915951264387842713659763589124   1         24            63.2                    1                  20           0                            29                    4                      0                                0                     4              0                    0                 0                                      1             0            4                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               1        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           1          0          8                                   0                                           0          0          0          5                      0                    0                           0                         0                 57           5             0               1                   0           9             4                2                 0                   1                       0               2                 9                  
800703029000000000000800003002000540040006301070040000003905000010402000200008050   Beyond Hell   2626     7.8   854713629731629485629854713192387546548296371376541298483975162915462837267138954   1         25            66.1                    1                  19           0                            29                    6                      0                                0                     2              0                    0                 0                                      3             3            4                  0                                0            0               0              0                            0                                     1        0                                 0           0            1                 0       0                               2        0                       0          0                  0                 0                 0        0                         0                         1                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          1                                   0                                           0          0          0          2                      0                    0                           0                         0                 56           10            2               3                   0           1             4                3                 2                   2                       0               1                 12                 
000009500005034109020000007050140000008056300200000000600000014090007000300690000   Beyond Hell   6090     8.0   831279546765834129429561837953142768148756392276983451687325914592417683314698275   1         25            100.0                   1                  20           0                            25                    8                      0                                0                     3              0                    0                 0                                      2             1            8                  0                                0            0               0              0                            0                                     0        0                                 0           0            1                 2       0                               2        2                       0          0                  0                 0                 2        0                         0                         1                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           1          0          9                                   0                                           0          0          0          3                      0                    0                           0                         0                 56           11            3               7                   0           10            4                3                 2                   4                       0               2                 15                 
000003700400000000000090408000708006000930000730001020190500000020000060650300079   Beyond Hell   10894    9.0   986453712415287693273196458541728936862935147739641825197562384324879561658314279   1         25            117.9                   1                  21           0                            28                    4                      0                                0                     3              0                    0                 0                                      3             2            12                 0                                0            0               0              0                            0                                     0        0                                 0           0            2                 0       0                               0        0                       1          0                  0                 1                 1        0                         0                         0                         0                         0                         1                          0           0                              0                 0         0                 0                      0                          0                               0          3           0          0          15                                  0                                           0          0          0          5                      0                    0                           3                         0                 56           17            2               3                   1           18            4                3                 1                   3                       1               2                 14                 
850040070600500000031000090000090100090000060400706000003021680008000400000005703   Beyond Hell   5480     8.0   859142376647539812231678594786293145395814267412756938573421689928367451164985723   1         26            76.4                    1                  20           0                            22                    13                     0                                0                     0              0                    0                 0                                      1             0            4                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               1        0                       1          0                  0                 1                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               1          0           0          2          9                                   0                                           0          0          0          3                      0                    0                           0                         0                 55           5             0               3                   0           12            3                2                 0                   3                       0               3                 11                 
000000030000093001900600005003700009060000040209080000002050090701000026080000300   Beyond Hell   7726     9.0   156874932827593461934612875413765289568239147279481653342156798791348526685927314   1         24            89.5                    1                  19           0                            31                    5                      0                                0                     2              0                    0                 0                                      2             2            6                  0                                0            0               0              0                            0                                     0        0                                 0           0            1                 0       0                               0        1                       0          0                  0                 0                 1        0                         0                         0                         1                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          6                                   0                                           0          0          0          8                      0                    0                           3                         0                 57           10            1               3                   0           6             4                3                 1                   3                       0               1                 12                 
600000090000070000200308600000000210000400000390002850802060900007020060000103000   Beyond Hell   1994     7.9   673254198489671523215398647768935214521486379394712856842567931137829465956143782   1         24            49.1                    1                  21           0                            27                    6                      0                                0                     3              0                    0                 0                                      2             2            2                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        1                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         1                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          2                                   0                                           0          0          0          1                      0                    0                           0                         0                 57           6             0               1                   1           2             4                3                 0                   1                       1               1                 10                 
003060040900000030010070000000050000009000480008407002867001500000080001050000064   Beyond Hell   4550     7.9   273968145985214736614573298746852913529136487138497652867341529492685371351729864   1         25            71.4                    1                  20           0                            25                    9                      0                                0                     2              0                    0                 0                                      4             1            4                  0                                0            0               0              0                            0                                     0        0                                 0           0            3                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               1          0           2          0          5                                   0                                           0          0          0          3                      0                    0                           0                         0                 56           9             3               0                   0           8             4                3                 1                   0                       0               3                 11                 
000601058000000200040073000020000100000038000480020009001050007060000000504700020   Beyond Hell   4272     7.9   972641358613589274845273916329467185157938462486125739231854697768392541594716823   1         24            59.6                    1                  18           0                            32                    4                      0                                0                     3              0                    0                 0                                      1             0            2                  0                                0            0               0              0                            0                                     0        0                                 0           1            2                 0       0                               0        0                       1          0                  0                 0                 1        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          1           0          0          4                                   0                                           0          0          0          5                      0                    0                           0                         0                 57           3             3               2                   0           5             4                2                 2                   2                       0               2                 12                 
002000060007006500090080001000000010000000780000302400204007009800010000050920040   Beyond Hell   6800     8.0   582731964317496528496285371943578612625149783178362495264857139839614257751923846   1         24            94.7                    1                  20           0                            29                    5                      0                                0                     3              0                    0                 0                                      4             0            6                  0                                0            0               0              0                            0                                     1        0                                 0           1            1                 0       0                               0        1                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          9                                   0                                           0          0          0          9                      0                    0                           0                         0                 57           10            3               1                   0           9             4                2                 3                   1                       0               1                 11                 
030057000006800007400000000052006008003000050090005000907608100000009700060040300   Beyond Hell   8720     9.1   839457612216893547475261893152976438783124956694385271947638125328519764561742389   1         25            91.1                    1                  20           0                            30                    2                      0                                0                     4              0                    0                 0                                      1             0            6                  0                                0            0               0              0                            0                                     0        0                                 0           0            1                 0       0                               0        0                       0          0                  0                 0                 2        0                         0                         0                         0                         0                         0                          0           0                              0                 0         1                 0                      0                          0                               0          0           0          0          10                                  0                                           0          0          0          10                     0                    0                           2                         0                 56           7             1               2                   1           10            4                2                 1                   1                       1               1                 10                 
020040035000070000040005800010020090005000004006003050000800206097050000000001000   Beyond Hell   8494     8.1   728149635653278941149365827314526798285917364976483152531894276897652413462731589   1         23            105.2                   1                  21           0                            27                    8                      0                                0                     2              0                    0                 0                                      2             2            7                  0                                0            0               0              0                            0                                     1        0                                 0           0            0                 0       0                               0        1                       0          0                  0                 0                 2        0                         0                         0                         0                         0                         1                          0           0                              0                 0         0                 1                      0                          0                               0          1           0          0          12                                  0                                           0          0          0          9                      0                    0                           0                         0                 58           11            1               3                   2           13            4                3                 1                   2                       2               2                 14                 
000904007800560102005002006000400030700000000090000800560790200020000090000030000   Beyond Hell   3660     8.0   612984357879563142345172986258417639736859421491326875564798213123645798987231564   1         24            49.1                    1                  20           0                            34                    0                      0                                0                     3              0                    0                 0                                      0             0            2                  0                                0            0               1              0                            0                                     0        0                                 0           0            1                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          6                                   0                                           0          0          0          4                      0                    0                           0                         0                 57           3             1               0                   0           6             3                2                 1                   0                       0               1                 7                  
500001002000600090004080006000300900040020030020000008010006040208090000090000500   Beyond Hell   8350     8.1   563941872182657394974283156857364921649128735321579468715836249238495617496712583   1         23            98.3                    1                  20           0                            31                    4                      0                                0                     3              0                    0                 0                                      3             0            6                  0                                0            1               0              0                            0                                     0        0                                 1           0            1                 0       0                               3        1                       0          0                  0                 0                 1        0                         0                         0                         0                         0                         1                          0           0                              0                 0         0                 0                      0                          0                               0          3           0          0          9                                   0                                           0          0          0          9                      0                    0                           0                         0                 58           10            2               5                   1           12            4                3                 2                   3                       1               2                 15                 
020790800000300000607500090780000602040000078006000000065000100300920007000005004   Beyond Hell   8330     8.0   124796835859312746637548291781439652243651978596287413465873129318924567972165384   1         26            109.1                   1                  20           0                            25                    5                      0                                0                     5              0                    0                 0                                      4             4            5                  0                                0            0               0              0                            0                                     1        0                                 0           0            2                 0       0                               0        2                       1          0                  0                 0                 3        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 1                      0                          0                               0          0           2          0          6                                   0                                           0          0          0          11                     0                    0                           0                         0                 55           13            3               6                   1           8             4                3                 2                   3                       1               2                 15                 
503000800000100907090040000000006000000850032700009001000600000054000000102070005   Beyond Hell   9040     8.9   573962814246183957891547326315726489469851732728439561937615248654298173182374695   1         23            93.1                    1                  20           0                            31                    4                      0                                0                     2              0                    0                 0                                      1             1            7                  0                                0            2               0              0                            0                                     0        0                                 0           1            0                 0       0                               0        1                       0          0                  0                 0                 1        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          1           0          0          3                                   0                                           0          0          0          12                     0                    0                           4                         0                 57           11            1               2                   0           4             4                4                 1                   2                       0               2                 13                 
800000930210004007079000005092000000000500060000810020000700000000201870041000050   Beyond Hell   5454     7.8   864175932215394687379682145592436718187529364436817529628753491953241876741968253   1         25            67.9                    1                  21           0                            29                    5                      0                                0                     1              0                    0                 0                                      2             1            2                  0                                0            0               0              0                            0                                     0        0                                 0           1            0                 0       0                               0        1                       1          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 1         0                 2                      0                          0                               0          2           0          0          6                                   0                                           0          0          0          4                      0                    0                           0                         0                 56           5             1               2                   3           8             4                3                 1                   2                       2               2                 14                 
008070000020090800000050073800006100000000030001300009710060000300400720000002005   Beyond Hell   9684     7.9   638274591527193864194658273843926157965817432271345689712569348359481726486732915   1         24            114.0                   1                  21           0                            28                    5                      0                                0                     3              0                    0                 0                                      5             0            10                 0                                0            1               0              0                            0                                     1        0                                 0           1            2                 0       0                               1        0                       0          0                  0                 0                 2        0                         0                         0                         0                         0                         1                          0           0                              0                 0         0                 1                      0                          0                               0          7           1          0          6                                   0                                           0          0          0          10                     0                    0                           0                         0                 57           16            4               3                   2           14            4                3                 3                   2                       2               3                 17                 
200300000004008000678100040900630007000001002005020380001000030000800521000007004   Beyond Hell   3756     8.1   219346875354278196678159243982635417437981652165724389591462738746893521823517964   1         27            53.7                    1                  19           0                            33                    1                      0                                0                     1              0                    0                 0                                      0             0            4                  0                                0            2               0              0                            0                                     0        0                                 0           1            0                 0       0                               1        0                       0          0                  0                 1                 0        0                         0                         0                         0                         0                         1                          0           0                              0                 0         0                 0                      0                          0                               0          0           1          0          2                                   0                                           0          0          0          5                      0                    0                           0                         0                 54           6             1               2                   1           3             4                2                 1                   2                       1               2                 12                 
900800000000003000043200607007000009000004700500790100600180900004000050020060000   Beyond Hell   5040     7.8   976841325251673498843259617417326589398514762562798143635182974184937256729465831   1         24            77.2                    1                  20           0                            29                    5                      0                                0                     3              0                    0                 0                                      3             2            4                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        1                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               1          0           0          0          12                                  0                                           0          0          0          1                      0                    0                           0                         0                 57           9             0               1                   0           13            4                3                 0                   1                       0               2                 10                 
000000001035100000040300580400800000007050000090000200081009037000010000500704090   Beyond Hell   5804     7.9   728695341635148729149327586452876913317952864896431275281569437974213658563784192   1         24            78.9                    1                  21           0                            32                    4                      0                                0                     0              0                    0                 0                                      1             2            5                  0                                0            0               0              0                            0                                     0        0                                 0           0            3                 2       0                               1        0                       0          0                  0                 1                 0        0                         0                         0                         0                         0                         0                          0           0                              1                 0         0                 0                      1                          0                               0          0           0          0          3                                   0                                           0          0          0          9                      0                    0                           0                         0                 57           8             5               2                   2           3             3                3                 2                   2                       2               1                 13                 
000000000001070002800419000400000060038002400000000001023006050690800000504920000   Beyond Hell   3790     7.9   946235178351678942872419536419587263738162495265394781123746859697851324584923617   1         25            62.5                    1                  20           0                            29                    4                      0                                0                     2              0                    0                 0                                      2             1            2                  0                                0            1               0              0                            0                                     0        0                                 0           0            0                 0       0                               1        1                       2          0                  0                 0                 1        0                         0                         0                         0                         0                         0                          0           1                              0                 0         0                 0                      0                          0                               0          0           0          0          2                                   0                                           0          0          0          5                      0                    0                           0                         0                 55           6             0               5                   1           2             4                4                 0                   4                       1               1                 14                 
060020050005790410307000290100900030000008000904030000603054000542000600000000000   Beyond Hell   5264     8.0   469821357285793416317645298158962734736418925924537861673254189542189673891376542   1         27            74.1                    1                  21           0                            26                    7                      0                                0                     0              0                    0                 0                                      1             4            2                  0                                0            0               0              0                            0                                     0        0                                 0           2            1                 0       0                               1        1                       0          0                  0                 0                 2        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          2           0          0          4                                   0                                           0          0          0          6                      0                    0                           0                         0                 54           7             3               4                   0           6             3                3                 2                   3                       0               2                 13                 
020040800006803905005020040070000060900200500003400000100090000000700108250060000   Beyond Hell   5542     7.9   729645813416873925385921746872359461941286537563417289138594672694732158257168394   1         26            87.3                    1                  18           0                            32                    4                      0                                0                     1              0                    0                 0                                      4             3            6                  0                                0            1               0              0                            0                                     1        0                                 0           0            2                 0       0                               1        1                       0          0                  0                 0                 1        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          1           2          0          6                                   0                                           0          0          0          3                      0                    0                           0                         0                 55           14            3               3                   0           9             4                4                 2                   3                       0               3                 16                 
000006050000000009950080006037064000000300407800070000060000504081650000090010800   Beyond Hell   2706     7.8   174926358628543179953781246237164985516398427849275631762839514481652793395417862   1         26            63.6                    1                  19           0                            31                    4                      0                                0                     1              0                    0                 0                                      4             2            1                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        1                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           1          0          2                                   0                                           0          0          0          3                      0                    0                           0                         0                 55           7             0               1                   0           3             4                3                 0                   1                       0               2                 10                 
042006800080007030100080000000009302090500000001800600000000100036020005000470000   Beyond Hell   11050    8.1   342956871689217534157384926865749312293561748471832659524693187736128495918475263   1         24            117.5                   1                  20           0                            30                    4                      0                                0                     3              0                    0                 0                                      5             3            8                  0                                0            0               0              0                            0                                     0        0                                 0           1            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          2           1          1          12                                  0                                           0          0          0          17                     0                    0                           0                         0                 57           16            1               0                   0           16            4                3                 1                   0                       0               4                 12                 
000060570500004003010900000600000027009000300000890040005000009000600400380700010   Beyond Hell   10050    9.0   934268571526174893817953264648531927179426358253897146465312789791685432382749615   1         24            108.8                   1                  20           0                            29                    6                      0                                0                     2              0                    0                 0                                      2             1            8                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               2        0                       0          0                  0                 0                 2        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           1          0          4                                   0                                           0          0          0          21                     0                    0                           1                         0                 57           11            0               4                   0           5             4                3                 0                   2                       0               2                 11                 
002068000030200100040000060207080540000310700000007000500030002004700000006009000   Beyond Hell   5310     8.0   752168934639274158841593267217986543465312789983457621578631492394725816126849375   1         24            75.4                    1                  20           0                            28                    7                      0                                0                     2              0                    0                 0                                      3             0            3                  0                                0            1               0              0                            0                                     0        0                                 0           4            0                 0       0                               0        0                       1          0                  0                 1                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          3           1          0          8                                   0                                           0          0          0          1                      0                    0                           0                         0                 57           7             4               2                   0           12            4                3                 1                   2                       0               3                 13                 
