Sudoku                                                                              Difficulty   HoDoKu   SE    Solution                                                                            Success   NbrOfGivens   TediousnessPercentage   MinNbrConcurrent   Last Digit   Killer Combination Singles   Hidden Single (Box)   Hidden Single (Line)   Hidden Single (Variant Region)   Killer Combinations   Naked Single   Variant Constraint   Innies / Outies   Innies / Outies (Mixed Region Types)   Hidden Pair   Naked Pair   Locked Candidate   Killer Combinations (Advanced)   Cage Split   Hidden Triple   Naked Triple   Innies / Outies (Advanced)   Killer Combination Locked Candidate   X-Wing   Short Forcing Chain (1-3 Cells)   Swordfish   Skyscraper   Two-String-Kite   Crane   Short Forcing Chain (4 Cells)   Y-Wing   Finned/Sashimi X-Wing   XYZ-Wing   Hidden Quadruple   Naked Quadruple   Empty Rectangle   W-Wing   Unique Rectangle Type 1   Unique Rectangle Type 2   Unique Rectangle Type 3   Unique Rectangle Type 4   Unique Rectangle Type 5   Finned/Sashimi Swordfish   Jellyfish   BUG (Binary Universal Grave)   Simple Coloring   X-Chain   Grouped X-Chain   4-Y-Wing (WXYZ-Wing)   Finned/Sashimi Jellyfish   Short Forcing Chain (5 Cells)   5-Y-Wing   3D Medusa   XY-Chain   6-Y-Wing   Alternating Inference Chain (AIC)   Grouped Alternating Inference Chain (AIC)   7-Y-Wing   8-Y-Wing   9-Y-Wing   Nishio Forcing Chain   Nishio Forcing Net   Cell/Region Forcing Chain   Cell/Region Forcing Net   Trial and Error   CountBasic   CountSimple   CountAdvanced   CountMoreAdvanced   CountHard   CountBrutal   DifferentBasic   DifferentSimple   DifferentAdvanced   DifferentMoreAdvanced   DifferentHard   DifferentBrutal   DifferentOverall   
087100030163020040294060070012035490370041026046802053451200700608050310039416285   Easy         196      1.2   587194632163527948294368571812635497375941826946872153451283769628759314739416285   1         50            9.7                     1                  19           0                            12                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 31           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
185000042000800000023700506000500004078004965250679138007495023000007490000210807   Easy         290      1.2   185963742746852319923741586691538274378124965254679138817495623562387491439216857   1         40            7.3                     3                  20           0                            21                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 41           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
350007008078041002002085067784162350135870000260000071817453000903216700500000410   Easy         224      1.2   351627948678941532492385167784162359135879624269534871817453296943216785526798413   1         46            8.6                     1                  21           0                            14                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 35           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
610400050004650197785012600200800000490000780000003020008300060040090230502106900   Easy         330      1.2   619437852324658197785912643257849316493261785861573429978324561146795238532186974   1         36            8.9                     4                  20           0                            25                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 45           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
782065000003240000540000060000089010978312500030407028020196050000520173000073002   Easy         300      1.2   782965431693241785541738269254689317978312546136457928327196854869524173415873692   1         39            9.5                     4                  20           0                            22                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 42           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
290840607000160200060205800300400759000052103089370060073018920010730008000000370   Easy         294      1.2   295843617834167295167295834321486759746952183589371462473518926612739548958624371   1         39            9.5                     2                  21           0                            21                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 42           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
502070896140000007060358210000060740305010029490030180000587000900003000813640570   Easy         284      1.2   532471896148296357769358214281965743375814629496732185624587931957123468813649572   1         40            7.3                     1                  21           0                            20                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 41           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
540000008000950400070804300003520807927100503065000100192700004000008000030240095   Easy         346      1.2   541362978386957412279814356413529867927186543865473129192735684754698231638241795   1         35            10.9                    3                  19           0                            27                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 46           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
703568024800924070040070605526437019498005067371689052900840000000756200600092041   Easy         190      1.2   713568924865924173249173685526437819498215367371689452952841736134756298687392541   1         50            9.7                     1                  20           0                            11                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 31           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
321600098000000020095300674260459000050000042040210056010064780036570010009032000   Easy         294      1.2   321647598674895321895321674268459137153786942947213856512964783436578219789132465   1         39            7.1                     3                  21           0                            21                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 42           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
