Sudoku                                                                              Difficulty        HoDoKu   SE    Solution                                                                            Success   NbrOfGivens   TediousnessPercentage   MinNbrConcurrent   Last Digit   Killer Combination Singles   Hidden Single (Box)   Hidden Single (Line)   Hidden Single (Variant Region)   Killer Combinations   Naked Single   Variant Constraint   Innies / Outies   Innies / Outies (Mixed Region Types)   Hidden Pair   Naked Pair   Locked Candidate   Killer Combinations (Advanced)   Cage Split   Hidden Triple   Naked Triple   Innies / Outies (Advanced)   Killer Combination Locked Candidate   X-Wing   Short Forcing Chain (1-3 Cells)   Swordfish   Skyscraper   Two-String-Kite   Crane   Short Forcing Chain (4 Cells)   Y-Wing   Finned/Sashimi X-Wing   XYZ-Wing   Hidden Quadruple   Naked Quadruple   Empty Rectangle   W-Wing   Unique Rectangle Type 1   Unique Rectangle Type 2   Unique Rectangle Type 3   Unique Rectangle Type 4   Unique Rectangle Type 5   Finned/Sashimi Swordfish   Jellyfish   BUG (Binary Universal Grave)   Simple Coloring   X-Chain   Grouped X-Chain   4-Y-Wing (WXYZ-Wing)   Finned/Sashimi Jellyfish   Short Forcing Chain (5 Cells)   5-Y-Wing   3D Medusa   XY-Chain   6-Y-Wing   Alternating Inference Chain (AIC)   Grouped Alternating Inference Chain (AIC)   7-Y-Wing   8-Y-Wing   9-Y-Wing   Nishio Forcing Chain   Nishio Forcing Net   Cell/Region Forcing Chain   Cell/Region Forcing Net   Trial and Error   CountBasic   CountSimple   CountAdvanced   CountMoreAdvanced   CountHard   CountBrutal   DifferentBasic   DifferentSimple   DifferentAdvanced   DifferentMoreAdvanced   DifferentHard   DifferentBrutal   DifferentOverall   
000310000420000010009000200050406930000001604008009125090027006060100070073045090   Moderately Easy   364      1.2   786312459425968713319574268152486937937251684648739125591827346864193572273645891   1         32            12.2                    1                  21           0                            28                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 49           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
126705040070069050009000602008504060004000030000973004007136800502407306001850400   Moderately Easy   310      1.2   126785943473269158859341672238514769794628531615973284947136825582497316361852497   1         38            11.6                    1                  20           0                            23                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 43           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
008002710219700000740001520865000090001524083400000175080050207020100948604000000   Moderately Easy   310      1.2   358692714219745836746831529865317492971524683432986175183459267527163948694278351   1         38            11.6                    1                  20           0                            23                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 43           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
002008056910002000705934182003200400209041063000070000090407001300189005007300204   Moderately Easy   310      1.2   432718956918562347765934182673295418259841763841673529596427831324189675187356294   1         38            11.6                    1                  20           0                            23                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 43           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
908004000060090400025600001639000027701902030000310005503406000806200003140039060   Moderately Easy   336      1.2   918524376367198452425673981639845127751962834284317695573486219896251743142739568   1         36            11.1                    1                  19           0                            26                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 45           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
800020500600400010503000000070000000950640072061502908020087095400100080000000100   Moderately Easy   390      1.2   817923564692458713543716829274839651958641372361572948126387495439165287785294136   1         30            11.8                    1                  20           0                            31                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 51           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
000000100003000084000004309012036000060087915087140000700500003800310046600000800   Moderately Easy   380      1.5   496853127273691584158724369512936478364287915987145632741568293825319746639472851   1         31            12.0                    4                  20           0                            29                    1                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 50           0             0               0                   0           0             3                0                 0                   0                       0               0                 3                  
820193000610720098935480120090502084400070000270009531083050670762000905500007013   Moderately Easy   234      1.2   827193456614725398935486127396512784451378269278649531183954672762831945549267813   1         45            11.1                    1                  21           0                            15                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 36           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
736009080805007026920058040694075201270010590010300070009000302080500000000904000   Moderately Easy   314      1.2   736249185845137926921658743694875231273416598518392674469781352187523469352964817   1         37            11.4                    1                  21           0                            23                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 44           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
900800050023095000060341702487000060095038210100006849000013070009200030006587904   Moderately Easy   290      1.2   941872356723695481568341792487129563695438217132756849254913678879264135316587924   1         40            12.2                    2                  20           0                            21                    0                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 41           0             0               0                   0           0             2                0                 0                   0                       0               0                 2                  
