Sudoku                                                                              Difficulty   HoDoKu   SE    Solution                                                                            Success   NbrOfGivens   TediousnessPercentage   MinNbrConcurrent   Last Digit   Killer Combination Singles   Hidden Single (Box)   Hidden Single (Line)   Hidden Single (Variant Region)   Killer Combinations   Naked Single   Variant Constraint   Innies / Outies   Innies / Outies (Mixed Region Types)   Hidden Pair   Naked Pair   Locked Candidate   Killer Combinations (Advanced)   Cage Split   Hidden Triple   Naked Triple   Innies / Outies (Advanced)   Killer Combination Locked Candidate   X-Wing   Short Forcing Chain (1-3 Cells)   Swordfish   Skyscraper   Two-String-Kite   Crane   Short Forcing Chain (4 Cells)   Y-Wing   Finned/Sashimi X-Wing   XYZ-Wing   Hidden Quadruple   Naked Quadruple   Empty Rectangle   W-Wing   Unique Rectangle Type 1   Unique Rectangle Type 2   Unique Rectangle Type 3   Unique Rectangle Type 4   Unique Rectangle Type 5   Finned/Sashimi Swordfish   Jellyfish   BUG (Binary Universal Grave)   Simple Coloring   X-Chain   Grouped X-Chain   4-Y-Wing (WXYZ-Wing)   Finned/Sashimi Jellyfish   Short Forcing Chain (5 Cells)   5-Y-Wing   3D Medusa   XY-Chain   6-Y-Wing   Alternating Inference Chain (AIC)   Grouped Alternating Inference Chain (AIC)   7-Y-Wing   8-Y-Wing   9-Y-Wing   Nishio Forcing Chain   Nishio Forcing Net   Cell/Region Forcing Chain   Cell/Region Forcing Net   Trial and Error   CountBasic   CountSimple   CountAdvanced   CountMoreAdvanced   CountHard   CountBrutal   DifferentBasic   DifferentSimple   DifferentAdvanced   DifferentMoreAdvanced   DifferentHard   DifferentBrutal   DifferentOverall   
000000027006930040000028003039000000580000700007000052000402100000010600000007008   Moderate     456      2.3   398146527726935841415728963239571486584263719167894352673482195852319674941657238   1         24            19.3                    3                  19           0                            35                    2                      0                                0                     1              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           0             0               0                   0           0             4                0                 0                   0                       0               0                 4                  
807003025306900000000000800000015000400600030008300000200000907003200061740090000   Moderate     442      2.3   897143625326958714514762893639415278452687139178329456265831947983274561741596382   1         26            18.2                    2                  18           0                            33                    2                      0                                0                     2              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 55           0             0               0                   0           0             4                0                 0                   0                       0               0                 4                  
000004063836090000000001900000380790060005000008000050001000600040500000205400008   Moderate     452      2.3   179854263836297514452631987514382796967145832328769451781923645643578129295416378   1         25            26.8                    2                  18           0                            34                    3                      0                                0                     1              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           0             0               0                   0           0             4                0                 0                   0                       0               0                 4                  
504080000070020050000006700009000000000032100000490800800100907030007006002000010   Moderate     444      1.5   564789231178324659293516748319875462487632195625491873846153927931247586752968314   1         24            21.1                    1                  21           0                            32                    4                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           0             0               0                   0           0             3                0                 0                   0                       0               0                 3                  
050001020082060109000070040000000000300097000000103500200630000860000200000900003   Moderate     450      1.5   957481326482365179631279845145826937326597418798143562219638754863754291574912683   1         24            22.8                    3                  20           0                            33                    4                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           0             0               0                   0           0             3                0                 0                   0                       0               0                 3                  
310000078706204000050000000000000030800301000005007900200010005000032000000500047   Moderate     456      1.5   312956478796284513458173692971625834824391756635847921249718365567432189183569247   1         24            24.6                    1                  19           0                            34                    4                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           0             0               0                   0           0             3                0                 0                   0                       0               0                 3                  
001700026420000000300800000009006002030020000006040013000280604100000008003000090   Moderate     452      1.5   951734826428615379367892145519376482834129567276548913795281634142963758683457291   1         25            19.6                    2                  18           0                            36                    2                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           0             0               0                   0           0             3                0                 0                   0                       0               0                 3                  
000000000070004080020080100005309000043010007080007900000063040600000710002050000   Moderate     450      2.3   869175324571234689324986175715329468943618257286547931197863542658492713432751896   1         24            22.8                    1                  20           0                            33                    3                      0                                0                     1              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           0             0               0                   0           0             4                0                 0                   0                       0               0                 4                  
169000807000008000003100400020000069008050200900000003000900608700500300000801050   Moderate     430      1.5   169425837247368915853197426425783169318659274976214583531972648782546391694831752   1         26            23.6                    1                  20           0                            32                    3                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 55           0             0               0                   0           0             3                0                 0                   0                       0               0                 3                  
005000001040000007007009400890000000000910003000047600080050300400600809300000060   Moderate     450      1.5   965473281148526937237189456894365712726918543513247698689751324451632879372894165   1         24            28.1                    1                  20           0                            31                    6                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           0             0               0                   0           0             3                0                 0                   0                       0               0                 3                  
