Sudoku                                                                              Difficulty   HoDoKu   SE    Solution                                                                            Success   NbrOfGivens   TediousnessPercentage   MinNbrConcurrent   Last Digit   Killer Combination Singles   Hidden Single (Box)   Hidden Single (Line)   Hidden Single (Variant Region)   Killer Combinations   Naked Single   Variant Constraint   Innies / Outies   Innies / Outies (Mixed Region Types)   Hidden Pair   Naked Pair   Locked Candidate   Killer Combinations (Advanced)   Cage Split   Hidden Triple   Naked Triple   Innies / Outies (Advanced)   Killer Combination Locked Candidate   X-Wing   Short Forcing Chain (1-3 Cells)   Swordfish   Skyscraper   Two-String-Kite   Crane   Short Forcing Chain (4 Cells)   Y-Wing   Finned/Sashimi X-Wing   XYZ-Wing   Hidden Quadruple   Naked Quadruple   Empty Rectangle   W-Wing   Unique Rectangle Type 1   Unique Rectangle Type 2   Unique Rectangle Type 3   Unique Rectangle Type 4   Unique Rectangle Type 5   Finned/Sashimi Swordfish   Jellyfish   BUG (Binary Universal Grave)   Simple Coloring   X-Chain   Grouped X-Chain   4-Y-Wing (WXYZ-Wing)   Finned/Sashimi Jellyfish   Short Forcing Chain (5 Cells)   5-Y-Wing   3D Medusa   XY-Chain   6-Y-Wing   Alternating Inference Chain (AIC)   Grouped Alternating Inference Chain (AIC)   7-Y-Wing   8-Y-Wing   9-Y-Wing   Nishio Forcing Chain   Nishio Forcing Net   Cell/Region Forcing Chain   Cell/Region Forcing Net   Trial and Error   CountBasic   CountSimple   CountAdvanced   CountMoreAdvanced   CountHard   CountBrutal   DifferentBasic   DifferentSimple   DifferentAdvanced   DifferentMoreAdvanced   DifferentHard   DifferentBrutal   DifferentOverall   
010000004005700006006042500002000003004006807850090400060100300000004000007300000   Vicious      704      4.0   218659734945713286736842519672481953194536827853297461569178342381924675427365198   1         25            33.9                    1                  21           0                            27                    8                      0                                0                     0              0                    0                 0                                      2             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           1            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           2             1               0                   0           0             3                1                 1                   0                       0               0                 5                  
006200004340000690010000000500009800000000300700080940600100007290063400000050000   Vicious      564      4.0   976238514342571698815946723564319872189427356723685941658194237291763485437852169   1         25            28.6                    1                  21           0                            28                    4                      0                                0                     3              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           1            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           0             1               0                   0           0             4                0                 1                   0                       0               0                 5                  
002009000090002400403100050040960830700000600000001000000400000004090002050206080   Vicious      782      4.1   572349168198652473463178259245967831719834625836521947321485796684793512957216384   1         25            37.5                    1                  18           0                            33                    4                      0                                0                     1              0                    0                 0                                      1             1            1                  0                                0            0               0              0                            0                                     0        0                                 0           0            1                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           3             1               0                   0           0             4                3                 1                   0                       0               0                 8                  
000038100032000400007005000004080600009500000100000790000001560700060902020300000   Vicious      884      4.0   945238176832176459617495283574983621269517348183642795398721564751864932426359817   1         25            41.1                    1                  21           0                            28                    2                      0                                0                     5              0                    0                 0                                      2             3            0                  0                                0            0               0              0                            0                                     0        0                                 0           1            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           5             1               0                   0           0             4                2                 1                   0                       0               0                 7                  
009006200604000090100000607000702000000098005090000430300217000008005000041000000   Vicious      904      4.0   759186243624573198183924657536742819412398765897651432365217984978465321241839576   1         25            48.2                    1                  21           0                            25                    9                      0                                0                     1              0                    0                 0                                      4             1            0                  0                                0            0               0              0                            0                                     0        0                                 0           1            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           5             1               0                   0           0             4                2                 1                   0                       0               0                 7                  
000800006060070300400020970900000003020130000000209400040000009205400700000067020   Vicious      740      4.0   792843156861975342453621978914756283528134697376289415647512839235498761189367524   1         26            32.7                    1                  20           0                            30                    5                      0                                0                     0              0                    0                 0                                      0             0            1                  0                                0            0               0              0                            0                                     0        0                                 0           2            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 55           1             2               0                   0           0             3                1                 1                   0                       0               0                 5                  
090205400602000008000091000000900804000400675000070000067000080100000000208040003   Vicious      1206     4.1   893265417612734958574891326725916834981423675346578291467352189139687542258149763   1         25            46.4                    1                  19           0                            26                    5                      0                                0                     6              0                    0                 0                                      1             1            2                  0                                0            1               0              0                            0                                     0        0                                 0           1            2                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           5             3               0                   0           0             4                4                 2                   0                       0               0                 10                 
490000500802300400006000000060001070000090000050020901000000090000080760910050004   Vicious      786      4.1   491872536872365419536914827369541278124798653758623941685437192243189765917256384   1         24            29.8                    1                  19           0                            33                    4                      0                                0                     1              0                    0                 0                                      0             0            1                  0                                0            0               0              0                            0                                     0        0                                 0           1            1                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           1             2               0                   0           0             4                1                 2                   0                       0               0                 7                  
000010007501000060000000058490006010076000000000435000047001000002000046000020800   Vicious      580      4.0   269518437581347962734269158495876213376192584128435679947681325812953746653724891   1         24            19.3                    2                  20           0                            31                    5                      0                                0                     1              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           1            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           0             1               0                   0           0             4                0                 1                   0                       0               0                 5                  
700008200005020108003000005500080000009010004000460000460570000000000019007000000   Vicious      654      4.0   714658293695723148283194675546987321879312564132465987461579832358246719927831456   1         23            43.1                    1                  21           0                            25                    11                     0                                0                     1              0                    0                 0                                      1             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           1            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 58           1             1               0                   0           0             4                1                 1                   0                       0               0                 6                  
