Sudoku                                                                              Difficulty   HoDoKu   SE    Solution                                                                            Success   NbrOfGivens   TediousnessPercentage   MinNbrConcurrent   Last Digit   Killer Combination Singles   Hidden Single (Box)   Hidden Single (Line)   Hidden Single (Variant Region)   Killer Combinations   Naked Single   Variant Constraint   Innies / Outies   Innies / Outies (Mixed Region Types)   Hidden Pair   Naked Pair   Locked Candidate   Killer Combinations (Advanced)   Cage Split   Hidden Triple   Naked Triple   Innies / Outies (Advanced)   Killer Combination Locked Candidate   X-Wing   Short Forcing Chain (1-3 Cells)   Swordfish   Skyscraper   Two-String-Kite   Crane   Short Forcing Chain (4 Cells)   Y-Wing   Finned/Sashimi X-Wing   XYZ-Wing   Hidden Quadruple   Naked Quadruple   Empty Rectangle   W-Wing   Unique Rectangle Type 1   Unique Rectangle Type 2   Unique Rectangle Type 3   Unique Rectangle Type 4   Unique Rectangle Type 5   Finned/Sashimi Swordfish   Jellyfish   BUG (Binary Universal Grave)   Simple Coloring   X-Chain   Grouped X-Chain   4-Y-Wing (WXYZ-Wing)   Finned/Sashimi Jellyfish   Short Forcing Chain (5 Cells)   5-Y-Wing   3D Medusa   XY-Chain   6-Y-Wing   Alternating Inference Chain (AIC)   Grouped Alternating Inference Chain (AIC)   7-Y-Wing   8-Y-Wing   9-Y-Wing   Nishio Forcing Chain   Nishio Forcing Net   Cell/Region Forcing Chain   Cell/Region Forcing Net   Trial and Error   CountBasic   CountSimple   CountAdvanced   CountMoreAdvanced   CountHard   CountBrutal   DifferentBasic   DifferentSimple   DifferentAdvanced   DifferentMoreAdvanced   DifferentHard   DifferentBrutal   DifferentOverall   
000000100004090000020001749210003005098000000000005200000000300037850090400000000   Fiendish     610      4.5   379524186164798523825631749216483975598217634743965218982146357637852491451379862   1         23            25.9                    1                  20           0                            32                    6                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 1        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 58           0             0               1                   0           0             3                0                 0                   1                       0               0                 4                  
500001030108030060060700000047109006600003000080000900000000090000020700020806500   Fiendish     1010     4.2   592641837178932465463758129247189356619573284385264971854317692936425718721896543   1         25            48.2                    1                  20           0                            24                    9                      0                                0                     3              0                    0                 0                                      0             0            1                  0                                0            1               0              0                            0                                     0        0                                 0           2            0                 0       0                               1        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           2             2               1                   0           0             4                2                 1                   1                       0               0                 8                  
000056400130007080020030006007901000000004069000000000005000070002000003403200000   Fiendish     1160     4.5   789156432136427985524839716347961528258374169961582347895613274612745893473298651   1         23            41.4                    1                  20           0                            34                    3                      0                                0                     1              0                    0                 0                                      1             2            4                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               1        0                       0          0                  0                 0                 1        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 58           7             0               2                   0           0             4                3                 0                   2                       0               0                 9                  
200600000000050069000402000908000000050001900000083050080025700000000080002007091   Fiendish     1550     4.5   275639814341758269896412375968574123753261948124983657489125736517396482632847591   1         24            49.1                    1                  20           0                            28                    7                      0                                0                     2              0                    0                 0                                      0             0            2                  0                                0            0               0              0                            0                                     0        0                                 0           0            3                 1       0                               0        1                       0          0                  0                 0                 2        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           2             4               3                   0           0             4                1                 2                   2                       0               0                 9                  
070060190203000008000400000006001000500000601720900000000070500010000030030040900   Fiendish     702      4.2   874362195263519478159487263346821759598734621721956384982173546417695832635248917   1         23            37.9                    1                  18           0                            32                    5                      0                                0                     3              0                    0                 0                                      1             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               1        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 58           1             0               1                   0           0             4                1                 0                   1                       0               0                 6                  
000805300450030200000000009005001020000004900000600050081092400607010000090000003   Fiendish     594      4.2   719825346456937281823146579975381624168254937234679158381792465647513892592468713   1         25            25.0                    1                  21           0                            32                    3                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               1        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           0             0               1                   0           0             3                0                 0                   1                       0               0                 4                  
700400800050130000001020070005200000008000015000090004006000000410003009000070000   Fiendish     1152     4.5   723469851854137962691528473345281796978346215162795384286914537417853629539672148   1         22            44.1                    1                  18           0                            32                    5                      0                                0                     4              0                    0                 0                                      3             1            2                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 2        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 59           6             0               2                   0           0             4                3                 0                   1                       0               0                 8                  
400000706009030500000857010730010000000084007000200600000000000200500008804090000   Fiendish     756      4.2   485129736179436582326857914732615849561984327948273651617348295293561478854792163   1         24            29.8                    1                  19           0                            29                    9                      0                                0                     0              0                    0                 0                                      0             0            0                  0                                0            0               0              0                            0                                     1        0                                 0           0            0                 0       0                               1        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           0             1               1                   0           0             3                0                 1                   1                       0               0                 5                  
000028000000900010004500009007000063009000705406000200000013006000060807600200000   Fiendish     916      4.4   961328574785946312324571689257894163819632745436157298548713926192465837673289451   1         24            35.1                    1                  19           0                            29                    6                      0                                0                     3              0                    0                 0                                      1             0            1                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               1        0                       1          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           2             0               2                   0           0             4                2                 0                   2                       0               0                 8                  
240950100007046000060000200018020070500000400000005981000000030050073000700100040   Fiendish     620      4.5   243958167197246358865317294318429576579681423624735981981564732452873619736192845   1         27            29.6                    1                  20           0                            29                    5                      0                                0                     0              0                    0                 0                                      0             0            1                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 1        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 54           1             0               1                   0           0             3                1                 0                   1                       0               0                 5                  
000000060007806904030029800090034500002080070400100000940200000003000000280003600   Fiendish     2354     4.2   819347265527816934634529817198734526362985471475162398946251783753698142281473659   1         27            59.3                    1                  21           0                            25                    3                      0                                0                     5              0                    0                 0                                      2             0            5                  0                                0            1               0              0                            0                                     2        0                                 0           2            1                 1       0                               4        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 54           8             6               4                   0           0             4                3                 4                   1                       0               0                 12                 
