Sudoku                                                                              Difficulty   HoDoKu   SE    Solution                                                                            Success   NbrOfGivens   TediousnessPercentage   MinNbrConcurrent   Last Digit   Killer Combination Singles   Hidden Single (Box)   Hidden Single (Line)   Hidden Single (Variant Region)   Killer Combinations   Naked Single   Variant Constraint   Innies / Outies   Innies / Outies (Mixed Region Types)   Hidden Pair   Naked Pair   Locked Candidate   Killer Combinations (Advanced)   Cage Split   Hidden Triple   Naked Triple   Innies / Outies (Advanced)   Killer Combination Locked Candidate   X-Wing   Short Forcing Chain (1-3 Cells)   Swordfish   Skyscraper   Two-String-Kite   Crane   Short Forcing Chain (4 Cells)   Y-Wing   Finned/Sashimi X-Wing   XYZ-Wing   Hidden Quadruple   Naked Quadruple   Empty Rectangle   W-Wing   Unique Rectangle Type 1   Unique Rectangle Type 2   Unique Rectangle Type 3   Unique Rectangle Type 4   Unique Rectangle Type 5   Finned/Sashimi Swordfish   Jellyfish   BUG (Binary Universal Grave)   Simple Coloring   X-Chain   Grouped X-Chain   4-Y-Wing (WXYZ-Wing)   Finned/Sashimi Jellyfish   Short Forcing Chain (5 Cells)   5-Y-Wing   3D Medusa   XY-Chain   6-Y-Wing   Alternating Inference Chain (AIC)   Grouped Alternating Inference Chain (AIC)   7-Y-Wing   8-Y-Wing   9-Y-Wing   Nishio Forcing Chain   Nishio Forcing Net   Cell/Region Forcing Chain   Cell/Region Forcing Net   Trial and Error   CountBasic   CountSimple   CountAdvanced   CountMoreAdvanced   CountHard   CountBrutal   DifferentBasic   DifferentSimple   DifferentAdvanced   DifferentMoreAdvanced   DifferentHard   DifferentBrutal   DifferentOverall   
304090060000603080070002090000000708800005009000370250698000003030000000100700000   Devilish     1084     5.6   384597162921643587576182394253916748817425639469378251698251473732864915145739826   1         26            36.4                    1                  21           0                            25                    5                      0                                0                     3              0                    0                 0                                      2             0            3                  0                                0            0               0              0                            0                                     0        0                                 0           1            1                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           1                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 54           5             2               0                   1           0             4                2                 2                   0                       1               0                 9                  
090700000100000800002080067300000406000008009001300008035000000070920000000000054   Devilish     1106     5.6   893756241167432895542189367389517426754268139621394578935641782478925613216873954   1         23            48.3                    1                  19           0                            31                    4                      0                                0                     3              0                    0                 0                                      4             2            3                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           1                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           9             0               0                   1           0             4                3                 0                   0                       1               0                 8                  
080740060400510000500000000009000002700402000200070104000007603070080000030600089   Devilish     1374     5.5   382749561467513928591268437649135872718492356253876194824957613976381245135624789   1         26            43.6                    1                  21           0                            27                    6                      0                                0                     1              0                    0                 0                                      1             2            4                  0                                0            1               0              0                            0                                     0        0                                 0           0            0                 0       0                               1        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 1                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 55           8             0               1                   1           0             4                4                 0                   1                       1               0                 10                 
097000000005900040030081070000030520000000700049710300004500060500400000008090000   Devilish     1440     5.5   697354812185927643432681975716839524853246791249715386924573168571468239368192457   1         25            33.9                    1                  20           0                            30                    6                      0                                0                     0              0                    0                 0                                      1             0            2                  0                                0            0               0              0                            0                                     1        0                                 0           1            1                 0       0                               0        0                       0          0                  0                 0                 1        0                         0                         0                         0                         0                         0                          0           0                              0                 1         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           3             3               1                   1           0             3                2                 3                   1                       1               0                 10                 
000700304080000650200040800001200000000075000800000000906050100300080009420000063   Devilish     1036     5.5   569718324184923657237546891751239486643875912892461735976352148315684279428197563   1         25            33.9                    1                  19           0                            34                    1                      0                                0                     2              0                    0                 0                                      2             0            3                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 1                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           5             0               0                   1           0             4                2                 0                   0                       1               0                 7                  
008000470007000300100009000000800040300401706750000801005680000600200000000000007   Devilish     1520     5.5   568132479497568312132749685216875943389421756754396821925687134673214598841953267   1         24            54.4                    1                  20           0                            30                    6                      0                                0                     1              0                    0                 0                                      3             3            3                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 1       0                               0        0                       0          0                  0                 0                 1        0                         0                         0                         0                         0                         0                          0           0                              0                 0         1                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           9             1               1                   1           0             4                3                 1                   1                       1               0                 10                 
020005076070000590000000400000800060000700039830060007704051000050090000082300000   Devilish     1406     5.5   429185376378642591516937428947823165265714839831569247794251683653498712182376954   1         26            41.8                    1                  19           0                            32                    4                      0                                0                     0              0                    0                 0                                      1             0            3                  0                                0            0               0              0                            0                                     0        0                                 0           0            1                 0       0                               1        0                       1          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 1         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 55           4             1               2                   1           0             3                2                 1                   2                       1               0                 9                  
900000800003000060062000003000006109070000000009100380500308970807000000000024000   Devilish     1050     4.2   945637821783219465162485793238576149471893256659142387514368972827951634396724518   1         24            49.1                    1                  20           0                            31                    6                      0                                0                     0              0                    0                 0                                      2             0            4                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         1                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 57           6             0               0                   1           0             3                2                 0                   0                       1               0                 6                  
060100000000306084000000900050020000002907500040008016208000005500000000073000609   Devilish     1004     5.5   864192357925376184137485962351624798682917543749538216218769435596243871473851629   1         25            39.3                    1                  21           0                            26                    4                      0                                0                     5              0                    0                 0                                      3             1            0                  0                                0            0               0              0                            0                                     0        0                                 0           0            0                 0       0                               0        0                       0          0                  0                 0                 0        0                         0                         0                         0                         0                         0                          0           0                              0                 0         0                 1                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 56           4             0               0                   1           0             4                2                 0                   0                       1               0                 7                  
300000079007600000890000600050070230000000001402900080000080067048005000900030002   Devilish     2360     5.2   364528179527691348891347625159876234683452791472913586235189467748265913916734852   1         26            61.8                    1                  20           0                            28                    4                      0                                0                     3              0                    0                 0                                      2             2            3                  0                                0            0               0              0                            0                                     0        0                                 0           3            1                 0       0                               2        0                       0          0                  0                 1                 2        0                         0                         0                         0                         0                         1                          0           0                              0                 0         0                 0                      0                          0                               0          0           0          0          0                                   0                                           0          0          0          0                      0                    0                           0                         0                 55           7             4               5                   1           0             4                3                 2                   3                       1               0                 13                 
